uid1;customer_age;registration_dt;email_flg;has_mob_app;phone_number;push_flg;card_balance;active_deposit_flag;hascrcard;numofproducts;Geography;EstimatedSalary;Exited
16698553;33;11.11.2011;1;0;1;0;8654;0;0;4;Ufa;69232;0
13448609;36;12.11.2011;1;1;1;0;38880;0;0;2;Sevastopol;311040;0
13326664;31;15.11.2011;1;0;1;0;6028;0;0;2;Novosibirsk;48224;0
25031533;39;16.11.2011;1;1;1;0;67526.2;0;1;3;Novokuznetsk;540210;0
42227862;41;16.11.2011;1;1;1;0;102770;0;1;4;Ekaterinburg;822160;0
30743801;33;17.11.2011;1;0;1;0;7891;0;1;1;Moscow;63128;0
49968424;39;19.11.2011;1;0;1;0;5211;0;1;7;Kaliningrad;41688;0
39837455;50;20.11.2011;1;0;1;0;27573.3;0;1;3;Krasnogorsk;220586;0
34963283;35;21.11.2011;0;0;1;0;0;0;0;1;Perm;29029;1
44384602;48;21.11.2011;1;1;1;1;0;0;1;3;Omsk;33337;1
20465937;43;21.11.2011;1;0;1;0;0;0;0;1;Krasnodar;21795;1
3190765;46;23.11.2011;1;0;1;0;17614.7;0;0;4;Ufa;140918;0
21189201;51;23.11.2011;1;0;1;0;37833;0;0;3;Tomsk;302664;0
24279930;33;24.11.2011;1;1;1;0;1490;0;1;5;Ekaterinburg;11920;0
33867690;60;24.11.2011;1;0;1;0;3392;0;1;6;Moscow;27136;1
22803407;65;24.11.2011;1;0;1;0;15765.2;0;0;3;Novosibirsk;126122;0
39418262;46;25.11.2011;0;0;1;0;15470.1;0;0;1;Ekaterinburg;123761;0
24653610;34;26.11.2011;1;0;1;0;181168.9;0;1;6;Ufa;1449351;0
17127255;43;29.11.2011;1;0;1;0;0;0;1;2;Ekaterinburg;33549;1
45164549;36;29.11.2011;0;0;1;0;0;0;0;1;Krasnodar;18266;1
48682988;42;29.11.2011;1;0;1;0;0;0;1;5;Omsk;7291;0
49785083;40;29.11.2011;1;1;1;0;6123;0;1;4;Volgograd;48984;0
24635674;73;29.11.2011;0;0;1;0;9308;0;0;3;Kaliningrad;74464;0
25394774;61;29.11.2011;1;0;1;0;61584.9;0;0;4;Samara;492679;0
13106768;62;30.11.2011;0;0;1;0;5080;0;0;2;Krasnodar;40640;0
13115698;49;30.11.2011;1;0;1;0;20039;0;1;3;Krasnodar;160312;0
905183;54;30.11.2011;1;0;1;0;58295.8;0;0;6;Novosibirsk;466366;0
52202;50;01.12.2011;1;0;1;0;0;0;1;2;Kazan;10053;1
13176157;38;01.12.2011;1;1;1;0;5260;0;1;4;Saint-Petersburg;42080;0
2470295;33;01.12.2011;1;1;1;0;9792;1;1;4;Ufa;78336;0
40570959;35;02.12.2011;0;0;1;0;0;0;1;1;Odintsovo;34466;1
16088416;40;02.12.2011;0;0;1;0;7216;0;1;3;Kazan;57728;0
45209630;55;02.12.2011;1;1;1;0;20998.6;0;0;6;Vladivostok;167989;0
7740460;65;02.12.2011;1;0;1;0;39140;0;0;4;Ufa;313120;0
48451777;47;03.12.2011;1;1;1;0;203128.1;0;0;6;Volgograd;1625025;0
21924860;43;04.12.2011;1;1;1;0;84699;1;0;7;Novokuznetsk;677592;0
29155651;37;05.12.2011;1;1;1;1;135406.5;0;1;2;Tomsk;1083252;0
25641277;46;06.12.2011;1;0;1;0;5043;0;1;3;Ekaterinburg;40344;0
4241050;41;07.12.2011;1;0;1;0;3720;0;1;4;Moscow;29760;0
36725362;30;08.12.2011;0;0;1;0;1390;0;0;2;Ekaterinburg;11120;0
34783236;68;08.12.2011;1;1;1;0;5890;0;0;1;Samara;47120;0
18329511;39;08.12.2011;1;1;1;1;29631;0;1;4;Novokuznetsk;237048;0
31707474;60;08.12.2011;1;0;1;0;50845.1;0;1;3;Omsk;406761;0
24015350;38;09.12.2011;0;0;1;0;1401;0;1;4;Krasnodar;11208;0
45180509;48;09.12.2011;0;0;1;0;53859.1;0;1;5;Krasnodar;430873;0
24307491;59;11.12.2011;0;0;1;0;2409;0;1;3;Moscow;19272;1
13010254;37;11.12.2011;0;0;1;0;158864.3;0;1;4;Omsk;1270914;0
38091384;44;13.12.2011;1;0;1;0;44262.9;0;1;3;Samara;354103;0
44110499;37;14.12.2011;1;1;1;1;5061;0;0;4;Moscow;40488;0
32955798;33;15.12.2011;0;0;1;0;3252;0;0;4;Ufa;26016;0
20231766;31;15.12.2011;0;0;1;0;5433;0;1;4;Krasnogorsk;43464;0
45718476;33;15.12.2011;1;1;1;1;31190;0;1;5;Sevastopol;249520;0
980399;26;15.12.2011;1;0;1;0;227789.6;0;0;6;Omsk;1822317;0
5843494;35;16.12.2011;1;0;1;0;5111;0;0;1;Krasnodar;40888;1
22488011;46;16.12.2011;0;0;1;0;15656.4;0;1;3;Moscow;125251;0
532453;61;16.12.2011;1;0;1;0;38091.5;0;1;3;Samara;304732;0
45813279;63;16.12.2011;0;0;1;0;68241.9;0;0;4;Sevastopol;545935;0
43380940;36;17.12.2011;1;0;1;0;1299;0;0;3;Novokuznetsk;10392;0
2075973;38;17.12.2011;1;1;1;0;15561.5;0;1;5;Kaliningrad;124492;0
3837183;51;17.12.2011;0;0;1;0;181176.8;0;1;3;Sevastopol;1449414;0
29732989;46;18.12.2011;1;0;1;0;135560.3;0;1;2;Voronezh;1084482;0
28519995;44;19.12.2011;1;1;1;1;19414.2;0;1;6;Volgograd;155314;0
22367989;;20.12.2011;1;0;1;0;0;0;0;1;Kazan;24702;1
35303784;32;21.12.2011;0;0;1;0;0;0;0;4;Voronezh;24520;0
31025077;36;21.12.2011;0;0;1;0;15310;1;1;5;Saint-Petersburg;122480;0
50474273;33;21.12.2011;1;0;1;0;18280;0;0;4;Krasnogorsk;146240;0
49853411;47;21.12.2011;0;0;1;0;44336.6;0;1;3;Sevastopol;354693;0
44714673;27;22.12.2011;0;0;1;0;0;0;1;1;Omsk;44137;1
37474537;;22.12.2011;0;0;1;0;0;0;0;1;Moscow;16563;1
21939855;49;22.12.2011;0;0;1;0;19300;0;1;4;Tomsk;154400;0
26182019;42;22.12.2011;0;0;1;0;72184.3;0;1;2;Vladivostok;577474;0
39182060;42;23.12.2011;1;0;1;0;36630.8;0;1;3;Samara;293046;0
26426364;34;24.12.2011;1;1;1;1;74690.3;0;0;3;Vladivostok;597522;0
42595879;31;27.12.2011;0;0;1;0;0;0;1;2;Krasnodar;36510;0
31197752;52;27.12.2011;1;0;1;0;0;0;1;4;Novokuznetsk;31444;1
11543283;60;27.12.2011;1;0;1;0;0;0;0;2;Moscow;48674;1
51075612;57;27.12.2011;0;0;1;0;28764;0;0;6;Krasnodar;230112;0
31070002;28;28.12.2011;0;0;1;0;0;0;0;1;Samara;18487;1
37562480;51;29.12.2011;0;0;1;0;0;0;0;7;Moscow;11556;1
28985940;58;29.12.2011;1;0;1;0;4664;0;0;5;Kazan;37312;1
13950098;38;30.12.2011;1;0;1;0;0;0;1;2;Odintsovo;38520;1
37238417;33;03.01.2012;1;0;1;0;150720.3;0;0;4;Kaliningrad;1205762;0
1852383;39;06.01.2012;0;0;1;0;0;0;0;4;Moscow;3761;0
27260271;42;06.01.2012;1;0;0;0;45059.6;0;0;4;Pushkin;360477;0
28810657;42;08.01.2012;1;0;1;0;36224;0;0;4;Omsk;289792;0
21918246;41;09.01.2012;1;0;1;0;4568;0;1;2;Krasnogorsk;36544;0
37528889;38;09.01.2012;1;0;1;0;8140;0;1;2;Moscow;65120;0
12375424;44;10.01.2012;1;1;1;1;1409.3;0;1;6;Moscow;11274;0
34889852;38;10.01.2012;1;1;1;1;2112;0;0;3;Omsk;16896;0
4779577;46;10.01.2012;1;0;1;0;6266;0;1;1;Volgograd;50128;0
16794584;44;10.01.2012;1;1;1;1;8201;0;0;3;Vladivostok;65608;0
28506778;49;12.01.2012;1;0;1;0;0;0;1;5;Krasnogorsk;9060;0
38062334;52;12.01.2012;1;1;1;0;7408;1;1;5;Ekaterinburg;59264;0
49587547;49;13.01.2012;0;0;1;0;10789.8;0;0;2;Novokuznetsk;86318;0
33325028;29;15.01.2012;1;0;1;0;0;0;0;1;Ekaterinburg;36387;1
29566598;28;16.01.2012;1;0;1;0;0;0;1;1;Krasnogorsk;33968;1
6254491;56;17.01.2012;1;0;1;0;0;0;0;1;Volgograd;27551;1
41501456;48;17.01.2012;1;0;1;0;1650;0;0;3;Ekaterinburg;13200;0
45222460;39;18.01.2012;1;1;1;1;53560;1;0;2;Krasnodar;428480;0
32581578;56;19.01.2012;1;1;1;0;1137353.5;0;0;3;Moscow;9098828;0
9801828;38;20.01.2012;0;0;1;0;121132.9;0;1;7;Saint-Petersburg;969063;0
7481822;68;21.01.2012;0;0;1;0;4605;0;1;3;Krasnodar;36840;0
46707568;46;23.01.2012;1;1;1;1;884465.5;0;0;7;Sevastopol;7075724;0
35066972;51;24.01.2012;0;0;1;0;4268;0;1;2;Vladivostok;34144;1
23375078;36;25.01.2012;1;0;1;0;0;0;0;3;Krasnodar;31802;1
39205299;41;25.01.2012;1;0;1;0;16000;0;0;2;Voronezh;128000;0
1445647;42;26.01.2012;1;0;1;0;5650;0;0;4;Novokuznetsk;45200;0
22646536;36;27.01.2012;1;0;1;0;0;0;0;1;Krasnodar;25000;1
1305964;41;27.01.2012;0;0;1;0;6448;0;0;1;Moscow;51584;0
21458143;41;28.01.2012;1;0;1;0;27000;0;0;2;Ekaterinburg;216000;1
49099134;31;29.01.2012;1;0;1;0;0;0;1;1;Volgograd;45707;1
22241277;34;30.01.2012;1;0;1;0;0;0;0;3;Voronezh;46707;1
36861742;37;30.01.2012;0;1;1;1;8595;0;1;2;Moscow;68760;1
14208886;46;30.01.2012;1;0;1;0;52063.1;0;1;4;Saint-Petersburg;416505;0
32685823;41;30.01.2012;1;1;1;1;2818643.7;0;1;7;Vladivostok;22549150;0
28620230;59;01.02.2012;0;0;1;0;0;0;0;1;Voronezh;15705;1
9219161;32;02.02.2012;0;0;1;0;0;0;1;1;Vladivostok;36840;1
44360387;52;02.02.2012;1;0;1;0;0;0;0;2;Moscow;7252;0
38244874;41;06.02.2012;0;0;1;0;163191.1;0;1;3;Voronezh;1305529;0
46364525;40;07.02.2012;1;1;1;1;7171;0;1;4;Omsk;57368;0
16142424;58;07.02.2012;0;1;1;0;1266318.9;0;0;3;Sevastopol;10130551;0
20840522;34;08.02.2012;0;0;1;0;0;0;0;3;Moscow;30835;1
16484748;55;11.02.2012;1;1;1;0;0;0;1;1;Odintsovo;44911;1
32612622;44;11.02.2012;1;1;1;1;46013.7;0;0;4;Obninsk;368110;0
47913304;50;14.02.2012;0;1;1;1;3000;0;1;1;Vladivostok;24000;0
44458402;49;15.02.2012;1;0;1;0;0;0;0;1;Perm;18070;0
7370864;71;15.02.2012;0;0;1;0;1008;0;0;7;Voronezh;8064;0
19299795;31;15.02.2012;0;1;1;0;3380;0;1;3;Ekaterinburg;27040;0
22096933;41;15.02.2012;1;0;1;0;37154;0;0;3;Sevastopol;297232;0
10759272;42;16.02.2012;1;1;1;0;522044.9;0;1;6;Ekaterinburg;4176359;0
31516753;55;17.02.2012;1;0;1;0;2156;0;0;1;Sevastopol;17248;1
43158986;51;18.02.2012;0;0;1;0;0;0;1;1;Perm;40397;1
35156874;42;19.02.2012;1;1;1;1;2638;0;1;3;Kazan;21104;1
4720096;63;20.02.2012;0;0;1;0;27402.7;0;1;3;Novokuznetsk;219222;0
46796237;59;20.02.2012;0;0;1;0;32889.9;0;0;2;Moscow;263119;0
51787915;40;20.02.2012;1;1;1;0;199127;0;0;1;Ekaterinburg;1593016;0
48072893;34;21.02.2012;0;1;1;1;5246.9;0;1;3;Odintsovo;41975;0
1790920;49;22.02.2012;1;0;1;0;990;0;0;3;Odintsovo;7920;0
38906370;54;22.02.2012;0;0;1;0;3391;0;1;4;Volgograd;27128;0
49573937;25;22.02.2012;0;1;1;0;7233;0;0;4;Novokuznetsk;57864;0
3089220;45;22.02.2012;0;0;1;0;10333.7;0;0;4;Krasnogorsk;82670;0
13285137;35;22.02.2012;1;1;1;0;172590.5;0;0;4;Moscow;1380724;0
33743163;;24.02.2012;0;0;1;0;0;0;0;1;Vladivostok;42840;1
21712169;47;24.02.2012;1;1;1;0;1490;0;1;5;Novokuznetsk;11920;0
28271197;56;24.02.2012;1;0;1;0;94428.4;0;1;2;Moscow;755427;0
33450618;56;25.02.2012;1;0;1;0;45511.4;0;1;2;Novokuznetsk;364091;0
845039;39;26.02.2012;1;0;1;0;0;0;1;4;Moscow;5199;1
29663974;41;26.02.2012;0;0;1;0;0;0;1;2;Ufa;39427;1
5231652;26;26.02.2012;0;0;1;0;0;0;0;1;Novokuznetsk;46897;1
51998830;37;26.02.2012;0;0;1;0;9854;0;0;1;Moscow;78832;0
52794143;35;26.02.2012;0;1;1;1;87626.5;0;0;5;Volgograd;701012;0
46579312;54;28.02.2012;0;0;1;0;0;0;1;1;Krasnodar;23830;1
41812891;43;28.02.2012;0;1;1;1;0;0;0;3;Vladivostok;6772;0
9706195;43;28.02.2012;0;0;1;0;4225;0;0;7;Moscow;33800;0
4029912;57;29.02.2012;0;0;1;0;40268.8;0;0;2;Ufa;322150;0
6594438;40;02.03.2012;0;0;1;0;6074;0;1;5;Moscow;48592;0
8504616;52;02.03.2012;1;0;1;0;97901.9;0;0;4;Kazan;783215;0
35012827;34;03.03.2012;0;0;1;0;5738;0;0;3;Novokuznetsk;45904;0
49354590;44;03.03.2012;1;0;1;0;27502.1;0;1;2;Krasnogorsk;220017;0
42736329;34;07.03.2012;0;0;1;0;0;0;1;1;Samara;43776;1
12045701;32;09.03.2012;0;0;1;0;28820;1;1;2;Saint-Petersburg;230560;0
16641527;51;10.03.2012;1;0;1;0;0;0;0;1;Krasnodar;13343;1
47407405;41;11.03.2012;1;0;1;0;101677;0;0;5;Novosibirsk;813416;0
23219949;34;11.03.2012;1;0;1;0;104324.3;0;1;5;Krasnodar;834594;0
7750670;38;12.03.2012;0;0;1;0;8866;0;0;5;Voronezh;70928;0
32712323;53;12.03.2012;1;0;1;0;9132;0;0;4;Vladivostok;73056;1
26563682;41;12.03.2012;1;0;1;0;28135.3;0;0;2;Moscow;225082;0
29544261;33;12.03.2012;1;1;1;1;223561.6;0;1;2;Tomsk;1788493;0
35273518;56;13.03.2012;1;0;1;0;11313.4;0;1;2;Saint-Petersburg;90507;0
33224385;41;14.03.2012;1;0;1;0;9218;0;1;2;Volgograd;73744;1
1444736;41;14.03.2012;1;0;1;0;59400;1;0;3;Sevastopol;475200;0
27666098;43;15.03.2012;1;0;1;0;2258.6;0;1;1;Odintsovo;18069;0
9630767;37;15.03.2012;1;1;1;0;98259.1;0;0;3;Vladivostok;786073;0
24931873;40;16.03.2012;0;0;1;0;9466.5;0;1;4;Novosibirsk;75732;0
5445182;56;17.03.2012;1;0;1;0;291;0;1;4;Pushkin;2328;1
41613992;44;17.03.2012;1;0;1;0;16761.5;0;1;5;Vladivostok;134092;0
25521898;33;17.03.2012;1;0;1;0;31016.5;0;1;3;Ufa;248132;0
14302263;40;17.03.2012;1;0;1;0;40851.2;0;0;4;Kaliningrad;326810;0
11349551;41;18.03.2012;1;1;1;0;2329;0;0;2;Sevastopol;18632;1
37251023;34;19.03.2012;0;0;1;0;22588.8;0;1;2;Samara;180710;0
4274402;56;20.03.2012;1;0;1;0;0;0;0;1;Moscow;6582;0
26213560;51;20.03.2012;1;0;1;0;25890;0;1;2;Krasnodar;207120;0
32562267;41;20.03.2012;1;1;1;1;78345.9;0;0;2;Vladivostok;626767;0
8560923;62;21.03.2012;0;0;1;0;7350;0;0;4;Kaliningrad;58800;0
30320994;37;21.03.2012;1;0;1;0;8273;0;1;4;Ekaterinburg;66184;0
41035737;44;22.03.2012;1;0;1;0;20251.2;0;1;3;Krasnodar;162010;0
47801277;32;23.03.2012;0;1;1;1;0;0;1;3;Vladivostok;41811;0
30159859;54;24.03.2012;0;0;1;0;0;0;0;1;Vladivostok;5257;1
11979059;43;24.03.2012;0;0;1;0;65328.4;0;0;6;Samara;522627;0
38978994;71;24.03.2012;0;0;1;0;96741;0;1;4;Ufa;773928;0
29590466;33;27.03.2012;1;1;1;0;7664;0;0;2;Odintsovo;61312;0
52171873;49;27.03.2012;1;0;1;0;42648.8;0;1;1;Kaliningrad;341190;0
49040992;47;29.03.2012;0;0;1;0;7048;0;1;4;Moscow;56384;0
29774347;50;30.03.2012;1;1;1;0;1380;0;1;6;Moscow;11040;0
38451076;34;04.04.2012;1;0;1;0;0;0;0;1;Kazan;42887;1
15247594;37;05.04.2012;1;1;1;0;0;0;0;4;Ufa;9204;0
24914069;34;06.04.2012;1;0;1;0;5375;1;0;2;Samara;43000;0
42955755;61;12.04.2012;0;0;1;0;10620.5;0;1;4;Voronezh;84964;0
24615221;52;13.04.2012;0;0;1;0;5567;0;1;3;Sevastopol;44536;0
25274852;40;13.04.2012;1;1;1;1;201267.1;0;1;6;Samara;1610137;0
30025031;32;14.04.2012;1;0;1;0;1880;0;1;3;Voronezh;15040;0
47140571;50;14.04.2012;1;0;1;0;73965.4;0;0;3;Samara;591723;0
